x_m,y_m,s_m,v_mps,v_kph,gear,rpm
0,0,0,38.65462986,139.1566675,2,14502.87645
-2.364751672,-4.423113294,5.015573913,39.67182796,142.8185807,2,14884.52021
-4.729503344,-8.846226587,10.03114783,40.6075606,146.1872182,2,15235.59885
-7.094255016,-13.26933988,15.04672174,41.50823454,149.4296443,2,15573.52377
-9.459006688,-17.69245317,20.06229565,42.36729523,152.5222628,2,15895.83577
-11.82375836,-22.11556647,25.07786957,43.14158654,155.3097115,3,13491.31693
-14.18851003,-26.53867976,30.09344348,43.7048882,157.3375975,3,13667.47367
-16.5532617,-30.96179306,35.10901739,43.83297006,157.7986922,3,13707.52767
-18.91801338,-35.38490635,40.12459131,43.35478479,156.0772252,3,13557.98868
-21.28276505,-39.80801964,45.14016522,42.33330437,152.3998957,2,15883.0827
-23.64751672,-44.23113294,50.15573913,40.99527263,147.5829815,2,15381.06498
-26.01226839,-48.65424623,55.17131305,39.51498723,142.253954,2,14825.67495
-28.43538312,-53.25996699,60.37555638,37.94801892,136.6128681,2,14237.76225
-30.85321321,-57.86846417,65.57979971,36.29890022,130.6760408,2,13619.02745
-33.2657555,-62.47973172,70.78404305,34.56460944,124.432594,2,12968.33683
-35.6730068,-67.09376357,75.98828638,32.73611385,117.8500098,1,15862.59226
-38.07496394,-71.71055364,81.19252972,30.7831897,110.8194829,1,14916.28447
-40.47162377,-76.33009586,86.39677305,28.6118861,103.00279,1,13864.15886
-42.86298314,-80.95238415,91.60101638,26.10287427,93.97034737,1,12648.39355
-47.49296024,-86.21152039,98.60781322,23.36245003,84.10482011,1,11320.49518
-52.5153343,-91.09731209,105.61461,20.86308739,75.10711459,1,10109.40547
-57.14118737,-93.34375144,110.7570809,19.09139419,68.72901909,1,9250.91485
-62.10940292,-94.67109487,115.8995517,18.14127985,65.30860745,1,8790.527996
-67.23925981,-95.03105966,121.0420226,17.77840214,64.00224772,1,8614.692189
-72.97065196,-94.36552011,126.8119272,17.71044001,63.75758404,1,8581.760496
-78.4460593,-92.54570875,132.5818317,17.73332011,63.83995239,1,8592.847263
-83.43557787,-89.64803667,138.3517363,17.77278152,63.98201348,1,8611.968663
-87.48599968,-86.08976212,143.7431401,17.84650748,64.24742692,1,8647.693269
-90.79164373,-81.83065988,149.1345439,17.98655449,64.75159616,1,8715.554368
-93.23357134,-77.02397452,154.5259476,18.21081616,65.55893817,1,8824.222471
-94.72392075,-71.84265294,159.9173514,18.59321043,66.93555755,1,9009.515217
-95.38103888,-66.0081724,165.7887199,19.35079378,69.6628576,1,9376.609362
-94.89929995,-60.15660038,171.6600883,20.74372067,74.6773944,1,10051.5652
-93.29683278,-54.50814338,177.5314568,22.83396579,82.20227685,1,11064.41316
-90.63394145,-49.27536427,183.4028252,25.40674879,91.46429563,1,12311.07939
-85.5623671,-41.20082979,192.9379693,28.09695964,101.1490547,1,13614.6464
-81.87602138,-35.30355488,199.8926078,30.55816791,110.0094045,1,14807.24805
-78.20040435,-29.39958708,206.8472463,32.59850653,117.3546235,1,15795.91334
-75.49202405,-25.09435899,211.933533,34.21371491,123.1693737,2,12836.6843
-72.77493748,-20.79462023,217.0198197,35.51668388,127.860062,2,13325.54677
-70.04915576,-16.50038842,222.1061065,36.64617716,131.9262378,2,13749.3227
-67.31469006,-12.21168114,227.1923932,37.69765116,135.7115442,2,14143.82647
-64.57155157,-7.928515944,232.27868,38.68695092,139.2730233,2,14515.00302
-61.81975152,-3.650910381,237.3649667,39.49758536,142.1913073,2,14819.14592
-59.05930119,0.621118037,242.4512535,39.84169037,143.4300853,2,14948.25109
-55.91121653,5.58564616,248.3297717,39.42653165,141.9355139,2,14792.4872
-52.76662059,10.55238482,254.2082899,38.23890002,137.6600401,2,14346.89828
-49.62551493,15.52133157,260.0868081,36.55026151,131.5809414,2,13713.33599
-46.4879011,20.49248395,265.9653264,34.64799089,124.7327672,2,12999.62082
-43.35378066,25.46583952,271.8438446,32.65279191,117.5500509,1,15822.21783
-40.57562252,29.81560257,277.0051043,30.49495559,109.7818401,1,14776.61792
-37.7914088,34.16149203,282.1663639,28.04627517,100.9665906,1,13590.08676
-33.37423115,41.40786913,290.6529085,25.42544055,91.53158599,1,12320.13667
-31.29289294,46.72657211,296.3643506,23.06256183,83.0252226,1,11175.18153
-29.97547626,52.28399808,302.0757926,21.32642463,76.77512868,1,10333.9199
-29.44785101,57.97101679,307.7872346,20.27089593,72.97522533,1,9822.453523
-29.93810632,63.29816664,313.1368959,19.75213213,71.10767566,1,9571.081639
-31.24031395,68.48691709,318.4865572,19.56518613,70.43467008,1,9480.495198
-33.32360461,73.41426688,323.8362185,19.49653492,70.1875257,1,9447.229604
-36.13859311,77.96341137,329.1858798,19.40299785,69.85079226,1,9401.905338
-39.61854912,82.02651142,334.5355411,19.27476529,69.38915504,1,9339.769042
-43.680979,85.50724976,339.8852024,19.23473157,69.24503364,1,9320.370325
-48.06340182,88.09471381,344.9744656,19.47550167,70.11180602,1,9437.037748
-52.78882745,89.98441025,350.0637288,20.16048346,72.57774047,1,9768.952125
-57.74696253,91.13223279,355.152992,21.34683197,76.84859509,1,10343.80847
-62.82208216,91.51139078,360.2422552,22.86648988,82.31936358,1,11080.17302
-68.08120944,92.81975925,365.6616876,24.16856602,87.00683767,1,11711.10627
-73.37206906,93.99323794,371.08112,24.52666874,88.29600748,1,11884.62832
-78.69120187,95.03105966,376.5005525,23.70238682,85.32859257,1,11485.21475
-84.76550044,98.45778095,383.4747565,22.22731472,80.018333,1,10770.45468
-90.14314393,102.8985548,390.4489605,20.85243442,75.06876392,1,10104.24348
