Tn,Ts,Tx,Ty
1,132.5818317,-77.87320601,-93.16770555
2,329.1858798,-35.33742121,76.60455789
3,383.4747565,-81.4723878,95.6521777
4,439.4235286,-130.7157387,118.012427
5,571.8062037,-130.8793378,-0.414078691
6,716.311497,-168.6707466,119.0476238
7,791.3408077,-222.8220727,168.322988
8,1256.639564,210.8793331,61.90476435
9,1311.260217,185.8486597,41.61490848
10,1340.393035,157.7096021,28.15735101
11,1377.873289,121.2269867,41.20082979
12,1506.308773,82.78118118,-65.83851192
13,1656.745114,58.40490451,59.62733155
