x_m,y_m,s_m,v_mps,v_kph,gear,rpm,Turn #,Turn,Tx,Ty,
0,0,0,43.9922279,158.3720204,3,13757.33107,,,-186.0592733,8.470453961,1
-10.16696482,0,10.16696482,45.296106,163.0659816,3,14165.08225,,,-326.6932927,97.61284401,2
-20.33392964,0,20.33392964,46.53171328,167.5141678,3,14551.48365,,,-203.4181525,-296.5498514,3
-30.50089445,0,30.50089445,47.71831726,171.7859421,3,14922.56065,,,-416.6843822,64.68015792,4
-40.66785927,0,40.66785927,48.85802263,175.8888815,3,15278.97142,,,-268.7206027,368.0472366,5
-50.83482409,0,50.83482409,49.9505066,179.8218238,3,15620.61504,,,-193.0854863,210.5774042,6
-61.00178891,0,61.00178891,50.95078184,183.4228146,3,15933.42296,,,200.3824414,150.6479404,7
-71.16875373,0,71.16875373,51.65318107,185.9514519,4,13992.22881,,,150.3723371,82.86565038,8
-81.33571855,0,81.33571855,51.66813641,186.0052911,4,13996.28004,,,120.6142586,11.36360049,9
-91.50268336,0,91.50268336,50.70041915,182.5215089,3,15855.12908,,,,,
-101.6696482,0,101.6696482,48.84521497,175.8427739,3,15274.96619,,,,,
-111.836613,0,111.836613,46.49271695,167.373781,3,14539.28864,,,,,
-122.0035778,0,122.0035778,44.07095859,158.6554509,3,13781.95188,,,,,
-132.1705426,0,132.1705426,41.88592859,150.7893429,2,15715.23125,,,,,
-139.1472868,0,139.1472868,39.9166659,143.6999972,2,14976.38125,,,,,
-151.3000154,0.777771417,151.3248785,37.82206532,136.1594352,2,14190.50557,,,,,
-163.3494897,2.539562722,163.5024703,35.4664877,127.6793557,2,13306.71361,,,,,
-175.2161656,5.273743503,175.680062,33.37727059,120.1581741,2,12522.85776,,,,,
-186.8217054,8.962264151,187.8576537,32.40215861,116.647771,1,15700.7711,1,1,,,
-196.9129707,13.77973344,199.0398559,32.8323495,118.1964582,1,15909.22415,,,,,
-206.4919817,19.548979,210.2220581,34.03798156,122.5367336,2,12770.75069,,,,,
-215.4692402,26.21609792,221.4042602,35.12339115,126.4442082,2,13177.98681,,,,,
-223.7608705,33.71879833,232.5864624,35.66262988,128.3854676,2,13380.30443,,,,,
-231.2894025,41.98698138,243.7686646,35.38407497,127.3826699,2,13275.79308,,,,,
-237.9844961,50.94339623,254.9508668,33.66251966,121.1850708,2,12629.8807,,,,,
-248.8372093,66.98113208,274.3155344,30.37341682,109.3443006,1,14717.72517,,,,,
-256.0740705,78.02313794,287.5177333,26.77702754,96.39729914,1,12975.06087,,,,,
-263.1782946,89.1509434,300.7199321,24.23421192,87.24316289,1,11742.91561,,,,,
-272.1441429,97.11479167,312.7119843,22.62409535,81.44674325,1,10962.71846,,,,,
-282.3175282,103.4639291,324.7040365,21.27536068,76.59129845,1,10309.17638,,,,,
-293.4108527,108.0188679,336.6960886,20.45965788,73.65476836,1,9913.919905,,,,,
-305.3073617,107.8966538,348.5932253,20.68784649,74.47624736,1,10024.49085,,,,,
-316.7115968,104.5076594,360.490362,21.59534127,77.74322856,1,10464.22599,,,,,
-326.744186,98.11320755,372.3874987,22.53385873,81.12189143,1,10918.99346,2,1,,,
-336.5084561,87.12101367,387.0901956,23.38993104,84.20375174,1,11333.81136,,,,,
-342.248062,73.58490566,401.7928925,24.26611404,87.35801056,1,11758.37409,,,,,
-344.6433514,62.36543003,413.2652089,25.11750434,90.42301562,1,12170.92327,,,,,
-344.7742715,50.89386064,424.7375254,26.02800106,93.70080383,1,12612.11304,,,,,
-342.6356589,39.62264151,436.2098418,27.27747193,98.19889893,1,13217.55591,,,,,
-338.8054126,27.41329029,449.0058976,29.07322669,104.6636161,1,14087.70579,,,,,
-332.9457364,16.03773585,461.8019534,31.47816124,113.3213805,1,15253.03948,,,,,
-326.24059,3.731993023,475.8158856,34.3140204,123.5304734,2,12874.31803,,,,,
-318.6046512,-8.018867925,489.8298178,37.11887327,133.6279438,2,13926.67411,,,,,
-313.2258127,-17.03353596,500.3272528,39.52746129,142.2988606,2,14830.35511,,,,,
-307.8450272,-26.047042,510.8246879,41.52734933,149.4984576,2,15580.69547,,,,,
-302.4622951,-35.0593856,521.322123,43.24094235,155.6673924,3,13522.38766,,,,,
-297.0776164,-44.07056636,531.8195581,44.74028598,161.0650295,3,13991.26518,,,,,
-291.6909915,-53.08058385,542.3169931,46.08399235,165.9023725,3,14411.47153,,,,,
-286.3024206,-62.08943764,552.8144282,47.33448391,170.4041421,3,14802.52757,,,,,
-280.9119039,-71.09712733,563.3118633,48.52662717,174.6958578,3,15175.33682,,,,,
-275.5194418,-80.1036525,573.8092983,49.66696988,178.8010916,3,15531.94691,,,,,
-270.1250345,-89.10901271,584.3067334,50.74182925,182.6705853,3,15868.07892,,,,,
