x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,0.0,0.0,35.07368745226645,126.26527482815922,6,6177.590229838054,0.0,straight,0.0,0.0,braking
0.0,1.0,1.0,35.1524781047203,126.54892117699309,6,6191.46776596721,0.0,straight,0.0,0.0,accel
0.0,2.0,2.0,35.223393503561496,126.80421661282139,6,6203.95821983302,0.0,straight,0.0,0.0,accel
0.0,3.0,3.0,35.2929466435299,127.05460791670765,6,6216.208736648743,0.0,straight,0.0,0.0,accel
0.0,4.0,4.0,35.36220740169109,127.30394664608792,6,6228.407755742758,0.0,straight,0.0,0.0,accel
0.0,5.0,5.0,35.43117314675781,127.55222332832811,6,6240.554813661817,0.0,straight,0.0,0.0,accel
0.0,6.0,6.0,35.499845966454785,127.79944547923724,6,6252.650278120547,0.0,straight,0.0,0.0,accel
0.0,7.0,7.0,35.56822792425928,128.04562052733343,6,6264.694512562825,0.0,straight,0.0,0.0,accel
0.0,8.0,8.0,35.63632105980578,128.29075581530083,6,6276.687876233057,0.0,straight,0.0,0.0,accel
0.0,9.0,9.0,35.70412738928192,128.53485860141492,6,6288.630724245917,0.0,straight,0.0,0.0,accel
0.0,10.0,10.0,35.771648905815894,128.77793606093724,6,6300.523407654578,0.0,straight,0.0,0.0,accel
0.0,11.0,11.0,35.83888757985554,129.01999528747993,6,6312.36627351748,0.0,straight,0.0,0.0,accel
0.0,12.0,12.0,35.90584535953934,129.26104329434165,6,6324.159664963683,0.0,straight,0.0,0.0,accel
0.0,13.0,13.0,35.97252417105961,129.5010870158146,6,6335.90392125682,0.0,straight,0.0,0.0,accel
0.0,14.0,14.0,36.03892591901787,129.74013330846435,6,6347.5993778577085,0.0,straight,0.0,0.0,accel
0.0,15.0,15.0,36.10505248677291,129.97818895238248,6,6359.246366485644,0.0,straight,0.0,0.0,accel
0.0,16.0,16.0,36.1709057367815,130.2152606524134,6,6370.845215178409,0.0,straight,0.0,0.0,accel
0.0,17.0,17.0,36.236487510931966,130.4513550393551,6,6382.396248351031,0.0,straight,0.0,0.0,accel
0.0,18.0,18.0,36.30179963087094,130.68647867113538,6,6393.899786853337,0.0,straight,0.0,0.0,accel
0.0,19.0,19.0,36.366843898323296,130.92063803396388,6,6405.356148026296,0.0,straight,0.0,0.0,accel
0.0,20.0,20.0,36.431622095405594,131.15383954346015,6,6416.765645757229,0.0,straight,0.0,0.0,accel
0.0,21.000000000000004,21.000000000000004,36.496135984933034,131.38608954575892,6,6428.12859053388,0.0,straight,0.0,0.0,accel
0.0,22.0,22.0,36.56038731072026,131.61739431859294,6,6439.445289497383,0.0,straight,0.0,0.0,accel
0.0,23.0,23.0,36.62437779787597,131.8477600723535,6,6450.71604649417,0.0,straight,0.0,0.0,accel
0.0,24.0,24.0,36.68810915309171,132.07719295113014,6,6461.941162126818,0.0,straight,0.0,0.0,accel
0.0,25.0,25.0,36.75158306492479,132.30569903372924,6,6473.120933803899,0.0,straight,0.0,0.0,accel
0.0,26.0,26.0,36.81480120407555,132.53328433467198,6,6484.2556557888,0.0,straight,0.0,0.0,accel
0.0,27.0,27.0,36.87776522365922,132.75995480517318,6,6495.3456192476115,0.0,straight,0.0,0.0,accel
